,index,Region,Association,Country,Player,Clubs,Periods,Number of Clubs,First Year,Final Year,Total Years,Active
0,44,Africa,CAF,Cameroon,Lauren,"Arsenal F.C., Portsmouth F.C.",2000–08,2.0,2000.0,2008,8.0,False
1,58,Africa,CAF,Cameroon,Alex Song,"Charlton Athletic F.C., Arsenal F.C., West Ham United F.C.","2005–12, 2014–16",3.0,2005.0,2016,9.0,False
2,95,Africa,CAF,Egypt,Mohamed Elneny,Arsenal F.C.,"2015–19, 2020–",1.0,2015.0,,8.0,True
3,108,Africa,CAF,Gabon,Pierre-Emerick Aubameyang,"Arsenal F.C., Chelsea F.C.",2017–23,2.0,2017.0,2023,6.0,False
4,127,Africa,CAF,Ghana,Emmanuel Frimpong,"Arsenal F.C., Wolverhampton Wanderers F.C., Fulham F.C.",2011–13,3.0,2011.0,2013,2.0,False
5,138,Africa,CAF,Ghana,Quincy Owusu-Abeyie,"Arsenal F.C., Portsmouth F.C.","2004–06, 2009–10",2.0,2004.0,2010,3.0,False
6,140,Africa,CAF,Ghana,Thomas Partey,Arsenal F.C.,2020–,1.0,2020.0,,4.0,True
7,151,Africa,CAF,Guinea,Kaba Diawara,"Arsenal F.C., West Ham United F.C.","1998–99, 2000–01",2.0,1998.0,2001,2.0,False
8,170,Africa,CAF,Ivory Coast,Emmanuel Eboué,Arsenal F.C.,2004–11,1.0,2004.0,2011,7.0,False
9,174,Africa,CAF,Ivory Coast,Gervinho,Arsenal F.C.,2011–13,1.0,2011.0,2013,2.0,False
10,184,Africa,CAF,Ivory Coast,Nicolas Pépé,Arsenal F.C.,2019–22,1.0,2019.0,2022,3.0,False
11,191,Africa,CAF,Ivory Coast,Kolo Touré,"Arsenal F.C., Manchester City F.C., Liverpool F.C.",2002–16,3.0,2002.0,2016,14.0,False
12,201,Africa,CAF,Liberia,Christopher Wreh,Arsenal F.C.,1997–99,1.0,1997.0,1999,2.0,False
13,228,Africa,CAF,Morocco,Marouane Chamakh,"Arsenal F.C., West Ham United F.C., Crystal Palace F.C.",2010–16,3.0,2010.0,2016,6.0,False
14,252,Africa,CAF,Nigeria,Chuba Akpom,Arsenal F.C.,2013–15,1.0,2013.0,2015,2.0,False
15,274,Africa,CAF,Nigeria,Alex Iwobi,"Arsenal F.C., Everton F.C., Fulham F.C.",2015–,3.0,2015.0,,9.0,True
16,277,Africa,CAF,Nigeria,Nwankwo Kanu,"Arsenal F.C., West Bromwich Albion F.C., Portsmouth F.C.",1998–2010,3.0,1998.0,2010,12.0,False
17,350,Africa,CAF,Senegal,Armand Traoré,"Arsenal F.C., Portsmouth F.C., Queens Park Rangers F.C.","2007–10, 2011–13, 2014–15",3.0,2007.0,2015,6.0,False
18,376,Africa,CAF,Togo,Emmanuel Adebayor,"Arsenal F.C., Manchester City F.C., Tottenham Hotspur F.C., Crystal Palace F.C.",2005–16,4.0,2005.0,2016,11.0,False
19,440,Asia,AFC,Australia,Mathew Ryan,"Brighton & Hove Albion F.C., Arsenal F.C.",2017–21,2.0,2017.0,2021,4.0,False
20,459,Asia,AFC,China PR,Nico Yennaris,Arsenal F.C.,2011–12,1.0,2011.0,2012,1.0,False
21,473,Asia,AFC,Japan,Ryo Miyaichi,"Bolton Wanderers F.C., Wigan Athletic F.C., Arsenal F.C.",2011–14,3.0,2011.0,2014,3.0,False
22,478,Asia,AFC,Japan,Takehiro Tomiyasu,Arsenal F.C.,2021–,1.0,2021.0,,3.0,True
23,489,Asia,AFC,Korea Republic,Park Chu-young,Arsenal F.C.,2011–12,1.0,2011.0,2012,1.0,False
24,500,Europe,UEFA,Armenia,Henrikh Mkhitaryan,"Manchester United F.C., Arsenal F.C.",2016–20,2.0,2016.0,2020,4.0,False
25,512,Europe,UEFA,Austria,Alex Manninger,Arsenal F.C.,1997–2001,1.0,1997.0,2001,4.0,False
26,522,Europe,UEFA,Belarus,Alexander Hleb,"Arsenal F.C., Birmingham City F.C.","2005–08, 2010–11",2.0,2005.0,2011,4.0,False
